agent_type,backend_model,root_cause_category,root_cause_name,net_env,scenario_topo_size,session_id,in_tokens,out_tokens,steps,tool_calls,tool_errors,time_taken,llm_judge_relevance_score,llm_judge_correctness_score,llm_judge_efficiency_score,llm_judge_clarity_score,llm_judge_final_outcome_score,llm_judge_overall_score,detection_score,localization_accuracy,localization_precision,localization_recall,localization_f1,rca_accuracy,rca_precision,rca_recall,rca_f1,agent,triple
react,gpt-5,end_host_failure,dns_record_error,ospf_enterprise_dhcp,s,403193015,45777,11085,5,32,0,237.91,3,4,3,5,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('dns_record_error', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,end_host_failure,dns_record_error,ospf_enterprise_dhcp,m,403193609,55307,13154,5,35,0,212.27,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('dns_record_error', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,end_host_failure,dns_record_error,ospf_enterprise_dhcp,l,403194304,128275,10224,4,16,0,208.84,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('dns_record_error', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,end_host_failure,host_crash,ospf_enterprise_dhcp,s,403195101,166337,19491,10,50,1,288.94,5,4,3,2,1,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ReAct (train),"('host_crash', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,end_host_failure,host_crash,ospf_enterprise_dhcp,m,403195738,49385,15796,5,28,1,200.5,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('host_crash', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,end_host_failure,host_crash,ospf_enterprise_dhcp,l,403200437,60729,9274,6,40,1,244.1,5,5,4,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ReAct (train),"('host_crash', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,end_host_failure,host_ip_conflict,ospf_enterprise_dhcp,s,403201826,56744,16581,6,14,0,265.75,5,5,4,5,4,5,1.0,0.5,1.0,0.5,0.6667,1.0,0.3333,1.0,0.5,ReAct (train),"('host_ip_conflict', 'ospf_enterprise_dhcp', 's')"
react,gpt-5,end_host_failure,host_ip_conflict,ospf_enterprise_dhcp,m,403202452,54811,14406,4,28,0,272.28,5,5,4,5,5,5,1.0,0.5,1.0,0.5,0.6667,1.0,0.3333,1.0,0.5,ReAct (train),"('host_ip_conflict', 'ospf_enterprise_dhcp', 'm')"
react,gpt-5,end_host_failure,host_ip_conflict,ospf_enterprise_dhcp,l,403203248,104176,9462,4,15,0,242.24,4,5,4,3,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('host_ip_conflict', 'ospf_enterprise_dhcp', 'l')"
react,gpt-5,end_host_failure,host_incorrect_dns,ospf_enterprise_dhcp,s,403205013,142890,21994,7,59,0,401.7,4,5,3,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ReAct (train),"('host_incorrect_dns', 'ospf_enterprise_dhcp', 's')"
