agent,topo_size,n,overall_mean,final_mean,in_tokens_mean,time_mean
ReAct (GPT-5),s,141,3.900709219858156,3.354609929078014,50230.09219858156,220.61191489361704
CC-Baseline,s,141,4.085106382978723,3.4893617021276597,179288.72340425532,214.08567375886523
SADE,s,141,4.595744680851064,4.382978723404255,305436.7943262411,210.51333333333338
ReAct (GPT-5),m,142,3.767605633802817,3.056338028169014,66117.71126760563,241.63063380281693
CC-Baseline,m,142,3.9788732394366195,3.415492957746479,226210.82394366196,219.65957746478875
SADE,m,142,4.140845070422535,3.7253521126760565,403880.3591549296,287.7728169014084
ReAct (GPT-5),l,142,3.767605633802817,3.183098591549296,104790.68309859154,248.9757746478873
CC-Baseline,l,142,3.73943661971831,2.9577464788732395,309404.21126760566,238.70978873239432
SADE,l,142,4.288732394366197,3.9577464788732395,490828.71126760566,298.4364084507042
ReAct (GPT-5),-,98,3.7653061224489797,3.2448979591836733,36143.010204081635,186.20795918367347
CC-Baseline,-,98,3.9183673469387754,3.3469387755102042,224956.66326530612,183.35836734693876
SADE,-,98,4.244897959183674,3.938775510204082,371319.6836734694,241.48061224489794
